device_ip,pin,timestamp
192.168.1.42,1060,2024-09-20T07:43:30+00:00
192.168.1.42,1188,2024-09-20T08:03:51+00:00
192.168.1.42,1634,2024-09-20T08:44:30+00:00
192.168.1.42,244,2024-09-20T09:05:17+00:00
192.168.1.42,1616,2024-09-20T09:06:53+00:00
192.168.1.42,1086,2024-09-20T09:06:57+00:00
192.168.1.42,1249,2024-09-20T09:07:15+00:00
192.168.1.42,1662,2024-09-20T09:10:17+00:00
192.168.1.42,1672,2024-09-20T09:58:40+00:00
192.168.1.42,244,2024-09-20T10:02:02+00:00
192.168.1.42,244,2024-09-20T10:03:35+00:00
192.168.1.42,244,2024-09-20T10:44:38+00:00
192.168.1.42,1106,2024-09-20T11:57:18+00:00
192.168.1.42,244,2024-09-20T13:10:38+00:00
192.168.1.42,244,2024-09-20T13:14:18+00:00
192.168.1.42,951,2024-09-20T13:14:49+00:00
192.168.1.42,244,2024-09-20T13:15:04+00:00
192.168.1.42,162,2024-09-20T13:15:11+00:00
192.168.1.42,244,2024-09-20T13:15:42+00:00
192.168.1.42,244,2024-09-20T13:23:33+00:00
192.168.1.42,1462,2024-09-20T13:27:34+00:00
192.168.1.42,528,2024-09-20T13:42:39+00:00
192.168.1.42,1634,2024-09-20T16:00:04+00:00
192.168.1.42,1086,2024-09-20T16:06:51+00:00
192.168.1.42,1060,2024-09-20T16:16:14+00:00
192.168.1.42,1249,2024-09-20T16:26:53+00:00
192.168.1.42,933,2024-09-20T16:35:17+00:00
192.168.1.42,244,2024-09-20T16:41:34+00:00
192.168.1.42,951,2024-09-20T17:12:03+00:00
192.168.1.42,1616,2024-09-20T18:52:40+00:00
192.168.1.42,1106,2024-09-20T19:49:15+00:00
192.168.1.42,1662,2024-09-21T07:13:33+00:00
192.168.1.42,933,2024-09-21T07:26:02+00:00
192.168.1.42,1060,2024-09-21T07:40:55+00:00
192.168.1.42,1086,2024-09-21T08:14:14+00:00
192.168.1.42,1634,2024-09-21T09:00:38+00:00
192.168.1.42,1616,2024-09-21T09:28:51+00:00
192.168.1.42,1249,2024-09-21T09:37:31+00:00
192.168.1.42,1672,2024-09-21T10:08:11+00:00
192.168.1.42,1106,2024-09-21T12:03:53+00:00
192.168.1.42,162,2024-09-21T13:54:07+00:00
192.168.1.42,1634,2024-09-21T14:04:03+00:00
192.168.1.42,1086,2024-09-21T14:19:30+00:00
192.168.1.42,1060,2024-09-21T14:24:26+00:00
192.168.1.42,933,2024-09-21T16:31:58+00:00
192.168.1.42,1616,2024-09-21T18:20:50+00:00
192.168.1.42,1106,2024-09-21T19:47:12+00:00
192.168.1.42,1602,2024-09-23T07:03:37+00:00
192.168.1.42,1060,2024-09-23T07:06:58+00:00
192.168.1.42,1662,2024-09-23T07:13:25+00:00
192.168.1.42,1249,2024-09-23T07:14:41+00:00
192.168.1.42,1188,2024-09-23T07:51:17+00:00
192.168.1.42,1462,2024-09-23T07:58:23+00:00
192.168.1.42,1086,2024-09-23T08:01:27+00:00
192.168.1.42,933,2024-09-23T08:14:00+00:00
192.168.1.42,1155,2024-09-23T08:23:48+00:00
192.168.1.42,1616,2024-09-23T09:05:58+00:00
192.168.1.42,1634,2024-09-23T09:07:18+00:00
192.168.1.42,244,2024-09-23T09:07:21+00:00
192.168.1.42,245,2024-09-23T09:09:49+00:00
192.168.1.42,173,2024-09-23T09:51:04+00:00
192.168.1.42,1672,2024-09-23T09:53:13+00:00
192.168.1.42,106,2024-09-23T10:00:35+00:00
192.168.1.42,1106,2024-09-23T11:58:15+00:00
192.168.1.42,528,2024-09-23T13:17:44+00:00
192.168.1.42,1634,2024-09-23T16:00:15+00:00
192.168.1.42,1086,2024-09-23T16:02:56+00:00
192.168.1.42,1188,2024-09-23T16:03:10+00:00
192.168.1.42,1060,2024-09-23T16:07:43+00:00
192.168.1.42,1249,2024-09-23T16:12:25+00:00
192.168.1.42,933,2024-09-23T16:15:00+00:00
192.168.1.42,1672,2024-09-23T17:11:59+00:00
192.168.1.42,1106,2024-09-23T19:21:53+00:00
192.168.1.42,1602,2024-09-24T07:03:49+00:00
192.168.1.42,1662,2024-09-24T07:17:12+00:00
192.168.1.42,1249,2024-09-24T07:19:07+00:00
192.168.1.42,933,2024-09-24T07:44:22+00:00
192.168.1.42,1060,2024-09-24T07:44:27+00:00
192.168.1.42,245,2024-09-24T07:57:45+00:00
192.168.1.42,1188,2024-09-24T08:01:54+00:00
192.168.1.42,1462,2024-09-24T08:01:59+00:00
192.168.1.42,951,2024-09-24T08:12:52+00:00
192.168.1.42,173,2024-09-24T08:14:36+00:00
192.168.1.42,1086,2024-09-24T08:15:51+00:00
192.168.1.42,1616,2024-09-24T08:45:21+00:00
192.168.1.42,244,2024-09-24T09:12:18+00:00
192.168.1.42,1634,2024-09-24T09:14:27+00:00
192.168.1.42,106,2024-09-24T09:17:22+00:00
192.168.1.42,1672,2024-09-24T09:58:25+00:00
192.168.1.42,244,2024-09-24T10:03:03+00:00
192.168.1.42,244,2024-09-24T10:08:03+00:00
192.168.1.42,244,2024-09-24T10:08:06+00:00
192.168.1.42,244,2024-09-24T10:08:09+00:00
192.168.1.42,244,2024-09-24T10:12:01+00:00
192.168.1.42,244,2024-09-24T10:12:04+00:00
192.168.1.42,1188,2024-09-24T10:13:19+00:00
192.168.1.42,1106,2024-09-24T11:57:05+00:00
192.168.1.42,244,2024-09-24T12:16:59+00:00
192.168.1.42,244,2024-09-24T12:27:33+00:00
192.168.1.42,162,2024-09-24T13:16:29+00:00
192.168.1.42,528,2024-09-24T13:38:27+00:00
192.168.1.42,1634,2024-09-24T16:01:13+00:00
192.168.1.42,1060,2024-09-24T16:02:08+00:00
192.168.1.42,933,2024-09-24T16:03:42+00:00
192.168.1.42,1086,2024-09-24T16:04:21+00:00
192.168.1.42,106,2024-09-24T17:01:16+00:00
192.168.1.42,1616,2024-09-24T18:46:48+00:00
192.168.1.42,1106,2024-09-24T20:05:23+00:00
192.168.1.42,1602,2024-09-25T07:05:16+00:00
192.168.1.42,244,2024-09-25T07:06:06+00:00
192.168.1.42,1060,2024-09-25T07:11:07+00:00
192.168.1.42,244,2024-09-25T07:12:12+00:00
192.168.1.42,1060,2024-09-25T07:13:27+00:00
192.168.1.42,1249,2024-09-25T07:13:46+00:00
192.168.1.42,1662,2024-09-25T07:17:01+00:00
192.168.1.42,173,2024-09-25T07:18:59+00:00
192.168.1.42,173,2024-09-25T07:20:52+00:00
192.168.1.42,173,2024-09-25T07:22:23+00:00
192.168.1.42,173,2024-09-25T07:22:31+00:00
192.168.1.42,933,2024-09-25T07:37:17+00:00
192.168.1.42,1462,2024-09-25T08:00:31+00:00
192.168.1.42,245,2024-09-25T08:07:20+00:00
192.168.1.42,951,2024-09-25T08:07:49+00:00
192.168.1.42,1086,2024-09-25T08:07:54+00:00
192.168.1.42,1188,2024-09-25T08:08:02+00:00
192.168.1.42,1086,2024-09-25T08:08:49+00:00
192.168.1.42,106,2024-09-25T08:45:34+00:00
192.168.1.42,244,2024-09-25T09:15:31+00:00
192.168.1.42,1634,2024-09-25T09:15:36+00:00
192.168.1.42,1616,2024-09-25T09:18:31+00:00
192.168.1.42,244,2024-09-25T09:50:16+00:00
192.168.1.42,1672,2024-09-25T10:00:40+00:00
192.168.1.42,1086,2024-09-25T10:07:36+00:00
192.168.1.42,1188,2024-09-25T10:12:02+00:00
192.168.1.42,244,2024-09-25T10:16:31+00:00
192.168.1.42,1188,2024-09-25T10:16:39+00:00
192.168.1.42,244,2024-09-25T10:33:31+00:00
192.168.1.42,1188,2024-09-25T10:33:43+00:00
192.168.1.42,244,2024-09-25T10:48:46+00:00
192.168.1.42,244,2024-09-25T10:53:32+00:00
192.168.1.42,1188,2024-09-25T10:53:44+00:00
192.168.1.42,244,2024-09-25T11:46:55+00:00
192.168.1.42,1060,2024-09-25T11:47:30+00:00
192.168.1.42,1188,2024-09-25T11:49:09+00:00
192.168.1.42,1188,2024-09-25T11:56:31+00:00
192.168.1.42,1106,2024-09-25T12:00:12+00:00
192.168.1.42,244,2024-09-25T12:29:32+00:00
192.168.1.42,1188,2024-09-25T12:30:55+00:00
192.168.1.42,1188,2024-09-25T12:36:52+00:00
192.168.1.42,244,2024-09-25T12:41:23+00:00
192.168.1.42,1188,2024-09-25T12:54:52+00:00
192.168.1.42,162,2024-09-25T13:06:47+00:00
192.168.1.42,244,2024-09-25T13:08:07+00:00
192.168.1.42,1188,2024-09-25T13:12:35+00:00
192.168.1.42,244,2024-09-25T13:12:39+00:00
192.168.1.42,1086,2024-09-25T13:14:17+00:00
192.168.1.42,1672,2024-09-25T13:15:12+00:00
192.168.1.42,1634,2024-09-25T13:15:23+00:00
192.168.1.42,162,2024-09-25T13:17:24+00:00
192.168.1.42,244,2024-09-25T13:17:32+00:00
192.168.1.42,173,2024-09-25T13:18:56+00:00
192.168.1.42,244,2024-09-25T13:33:18+00:00
192.168.1.42,1060,2024-09-25T13:33:36+00:00
192.168.1.42,528,2024-09-25T13:35:40+00:00
192.168.1.42,244,2024-09-25T13:35:51+00:00
192.168.1.42,1188,2024-09-25T13:47:55+00:00
192.168.1.42,244,2024-09-25T13:47:58+00:00
192.168.1.42,244,2024-09-25T14:04:07+00:00
192.168.1.42,244,2024-09-25T14:23:31+00:00
192.168.1.42,244,2024-09-25T14:33:35+00:00
192.168.1.42,244,2024-09-25T14:36:58+00:00
192.168.1.42,244,2024-09-25T14:46:18+00:00
192.168.1.42,244,2024-09-25T15:12:53+00:00
192.168.1.42,244,2024-09-25T15:22:41+00:00
192.168.1.42,1106,2024-09-25T15:29:29+00:00
192.168.1.42,1086,2024-09-25T16:01:07+00:00
192.168.1.42,1634,2024-09-25T16:01:13+00:00
192.168.1.42,1060,2024-09-25T16:04:25+00:00
192.168.1.42,244,2024-09-25T17:29:35+00:00
192.168.1.42,1616,2024-09-25T18:03:45+00:00
192.168.1.42,1249,2024-09-26T07:13:21+00:00
192.168.1.42,1662,2024-09-26T07:17:14+00:00
192.168.1.42,173,2024-09-26T07:36:27+00:00
192.168.1.42,933,2024-09-26T07:36:38+00:00
192.168.1.42,1462,2024-09-26T07:58:14+00:00
192.168.1.42,1086,2024-09-26T08:02:24+00:00
192.168.1.42,1188,2024-09-26T08:02:29+00:00
192.168.1.42,245,2024-09-26T08:05:38+00:00
192.168.1.42,1634,2024-09-26T08:56:08+00:00
192.168.1.42,106,2024-09-26T09:05:47+00:00
192.168.1.42,244,2024-09-26T09:12:09+00:00
192.168.1.42,1249,2024-09-26T09:19:36+00:00
192.168.1.42,1616,2024-09-26T09:24:46+00:00
192.168.1.42,1672,2024-09-26T10:01:29+00:00
192.168.1.42,1106,2024-09-26T11:40:04+00:00
192.168.1.42,162,2024-09-26T13:40:19+00:00
192.168.1.42,1634,2024-09-26T16:00:37+00:00
192.168.1.42,1086,2024-09-26T16:03:21+00:00
192.168.1.42,173,2024-09-26T16:03:35+00:00
192.168.1.42,1060,2024-09-26T16:07:00+00:00
192.168.1.42,1672,2024-09-26T17:01:16+00:00
192.168.1.42,244,2024-09-26T17:37:11+00:00
192.168.1.42,1662,2024-09-27T07:08:37+00:00
192.168.1.42,1249,2024-09-27T07:14:15+00:00
192.168.1.42,245,2024-09-27T07:50:29+00:00
192.168.1.42,1188,2024-09-27T07:53:39+00:00
192.168.1.42,1462,2024-09-27T07:55:42+00:00
192.168.1.42,1462,2024-09-27T07:55:44+00:00
192.168.1.42,933,2024-09-27T08:03:42+00:00
192.168.1.42,1086,2024-09-27T08:03:55+00:00
192.168.1.42,173,2024-09-27T08:13:58+00:00
192.168.1.42,951,2024-09-27T08:21:32+00:00
192.168.1.42,1634,2024-09-27T08:38:55+00:00
192.168.1.42,106,2024-09-27T08:41:02+00:00
192.168.1.42,244,2024-09-27T09:09:07+00:00
192.168.1.42,1616,2024-09-27T09:18:04+00:00
192.168.1.42,1086,2024-09-27T09:30:02+00:00
192.168.1.42,1672,2024-09-27T09:55:19+00:00
192.168.1.42,244,2024-09-27T12:01:08+00:00
192.168.1.42,1060,2024-09-27T12:01:10+00:00
192.168.1.42,1086,2024-09-27T12:01:13+00:00
192.168.1.42,1106,2024-09-27T12:05:38+00:00
192.168.1.42,244,2024-09-27T12:06:07+00:00
192.168.1.42,1634,2024-09-27T12:08:16+00:00
192.168.1.42,244,2024-09-27T12:16:28+00:00
192.168.1.42,1616,2024-09-27T12:18:50+00:00
192.168.1.42,162,2024-09-27T13:05:41+00:00
192.168.1.42,528,2024-09-27T13:22:42+00:00
192.168.1.42,1634,2024-09-27T16:00:22+00:00
192.168.1.42,1086,2024-09-27T16:01:17+00:00
192.168.1.42,933,2024-09-27T16:03:10+00:00
192.168.1.42,1060,2024-09-27T16:08:29+00:00
192.168.1.42,951,2024-09-27T16:34:04+00:00
192.168.1.42,951,2024-09-27T16:34:18+00:00
192.168.1.42,1616,2024-09-27T18:15:00+00:00
192.168.1.42,1249,2024-09-28T07:22:42+00:00
192.168.1.42,1662,2024-09-28T07:29:55+00:00
192.168.1.42,245,2024-09-28T07:53:42+00:00
192.168.1.42,1086,2024-09-28T08:01:07+00:00
192.168.1.42,1155,2024-09-28T08:14:45+00:00
192.168.1.42,1634,2024-09-28T08:36:36+00:00
192.168.1.42,244,2024-09-28T09:15:23+00:00
192.168.1.42,1616,2024-09-28T09:30:03+00:00
192.168.1.42,244,2024-09-28T09:34:00+00:00
192.168.1.42,244,2024-09-28T09:35:11+00:00
192.168.1.42,244,2024-09-28T09:37:31+00:00
192.168.1.42,1672,2024-09-28T10:02:27+00:00
192.168.1.42,1462,2024-09-28T11:02:00+00:00
192.168.1.42,244,2024-09-28T11:41:39+00:00
192.168.1.42,1106,2024-09-28T12:07:59+00:00
192.168.1.42,162,2024-09-28T13:30:06+00:00
192.168.1.42,1634,2024-09-28T14:01:58+00:00
192.168.1.42,1155,2024-09-28T14:02:11+00:00
192.168.1.42,1086,2024-09-28T14:02:33+00:00
192.168.1.42,1672,2024-09-28T15:52:54+00:00
192.168.1.42,244,2024-09-28T16:41:08+00:00
192.168.1.42,1616,2024-09-28T18:04:46+00:00
192.168.1.42,1106,2024-09-28T18:13:00+00:00
192.168.1.42,173,2024-09-30T06:40:53+00:00
192.168.1.42,173,2024-09-30T06:40:59+00:00
192.168.1.42,173,2024-09-30T06:41:05+00:00
192.168.1.42,1662,2024-09-30T07:11:54+00:00
192.168.1.42,1188,2024-09-30T07:54:37+00:00
192.168.1.42,1086,2024-09-30T07:56:16+00:00
192.168.1.42,933,2024-09-30T07:56:52+00:00
192.168.1.42,1462,2024-09-30T07:57:26+00:00
192.168.1.42,245,2024-09-30T07:58:41+00:00
192.168.1.42,951,2024-09-30T08:15:39+00:00
192.168.1.42,951,2024-09-30T08:15:51+00:00
192.168.1.42,1188,2024-09-30T08:15:57+00:00
192.168.1.42,933,2024-09-30T08:16:01+00:00
192.168.1.42,1634,2024-09-30T09:08:24+00:00
192.168.1.42,106,2024-09-30T09:09:24+00:00
192.168.1.42,106,2024-09-30T09:09:30+00:00
192.168.1.42,1616,2024-09-30T09:19:52+00:00
192.168.1.42,1672,2024-09-30T09:52:47+00:00
192.168.1.42,528,2024-09-30T10:58:14+00:00
192.168.1.42,1634,2024-09-30T16:00:13+00:00
192.168.1.42,1086,2024-09-30T16:06:49+00:00
192.168.1.42,951,2024-09-30T16:07:50+00:00
192.168.1.42,1462,2024-09-30T16:07:57+00:00
192.168.1.42,1060,2024-09-30T16:27:53+00:00
192.168.1.42,173,2024-09-30T16:32:46+00:00
192.168.1.42,933,2024-09-30T16:33:00+00:00
192.168.1.42,1672,2024-09-30T17:20:48+00:00
192.168.1.42,1616,2024-09-30T18:16:39+00:00
192.168.1.42,1662,2024-10-02T07:13:33+00:00
192.168.1.42,933,2024-10-02T07:44:38+00:00
192.168.1.42,173,2024-10-02T07:53:29+00:00
192.168.1.42,173,2024-10-02T07:53:31+00:00
192.168.1.42,173,2024-10-02T07:53:33+00:00
192.168.1.42,1462,2024-10-02T07:54:38+00:00
192.168.1.42,245,2024-10-02T08:07:37+00:00
192.168.1.42,1086,2024-10-02T08:09:07+00:00
192.168.1.42,1188,2024-10-02T08:12:58+00:00
192.168.1.42,951,2024-10-02T08:16:30+00:00
192.168.1.42,106,2024-10-02T08:51:52+00:00
192.168.1.42,1634,2024-10-02T09:00:36+00:00
192.168.1.42,1634,2024-10-02T09:00:38+00:00
192.168.1.42,244,2024-10-02T09:12:26+00:00
192.168.1.42,1616,2024-10-02T09:15:48+00:00
192.168.1.42,1672,2024-10-02T09:57:36+00:00
192.168.1.42,244,2024-10-02T10:29:04+00:00
192.168.1.42,1106,2024-10-02T11:59:18+00:00
192.168.1.42,528,2024-10-02T13:21:26+00:00
192.168.1.42,1086,2024-10-02T16:00:15+00:00
192.168.1.42,1634,2024-10-02T16:00:22+00:00
192.168.1.42,951,2024-10-02T16:02:06+00:00
192.168.1.42,1188,2024-10-02T16:02:10+00:00
192.168.1.42,1462,2024-10-02T16:02:16+00:00
192.168.1.42,1060,2024-10-02T16:04:13+00:00
192.168.1.42,933,2024-10-02T16:06:45+00:00
192.168.1.42,1672,2024-10-02T17:01:29+00:00
192.168.1.42,1616,2024-10-02T18:15:48+00:00
192.168.1.42,1662,2024-10-03T07:17:13+00:00
192.168.1.42,1188,2024-10-03T07:46:20+00:00
192.168.1.42,1462,2024-10-03T07:56:51+00:00
192.168.1.42,1086,2024-10-03T08:01:28+00:00
192.168.1.42,173,2024-10-03T08:01:51+00:00
192.168.1.42,933,2024-10-03T08:09:10+00:00
192.168.1.42,245,2024-10-03T08:13:41+00:00
192.168.1.42,951,2024-10-03T08:13:48+00:00
192.168.1.42,951,2024-10-03T08:15:27+00:00
192.168.1.42,1634,2024-10-03T09:03:42+00:00
192.168.1.42,106,2024-10-03T09:13:41+00:00
192.168.1.42,244,2024-10-03T09:23:33+00:00
192.168.1.42,1616,2024-10-03T09:30:15+00:00
192.168.1.42,1672,2024-10-03T10:00:47+00:00
192.168.1.42,1106,2024-10-03T12:32:26+00:00
192.168.1.42,528,2024-10-03T12:45:21+00:00
192.168.1.42,162,2024-10-03T13:29:14+00:00
192.168.1.42,244,2024-10-03T13:49:17+00:00
192.168.1.42,244,2024-10-03T13:51:49+00:00
192.168.1.42,244,2024-10-03T13:54:33+00:00
192.168.1.42,244,2024-10-03T13:56:36+00:00
192.168.1.42,1634,2024-10-03T16:00:41+00:00
192.168.1.42,1086,2024-10-03T16:03:24+00:00
192.168.1.42,1188,2024-10-03T16:03:31+00:00
192.168.1.42,1462,2024-10-03T16:03:43+00:00
192.168.1.42,951,2024-10-03T17:09:21+00:00
192.168.1.42,1672,2024-10-03T17:14:19+00:00
192.168.1.42,1616,2024-10-03T19:34:05+00:00
192.168.1.42,1106,2024-10-03T19:36:31+00:00
192.168.1.42,1662,2024-10-04T07:18:26+00:00
192.168.1.42,173,2024-10-04T07:56:06+00:00
192.168.1.42,173,2024-10-04T07:56:09+00:00
192.168.1.42,1188,2024-10-04T08:03:06+00:00
192.168.1.42,933,2024-10-04T08:03:12+00:00
192.168.1.42,1086,2024-10-04T08:03:15+00:00
192.168.1.42,1462,2024-10-04T08:03:20+00:00
192.168.1.42,245,2024-10-04T08:06:48+00:00
192.168.1.42,951,2024-10-04T08:42:48+00:00
192.168.1.42,106,2024-10-04T08:47:48+00:00
192.168.1.42,1634,2024-10-04T09:01:03+00:00
192.168.1.42,1616,2024-10-04T09:26:45+00:00
192.168.1.42,1672,2024-10-04T09:51:34+00:00
192.168.1.42,528,2024-10-04T13:45:08+00:00
192.168.1.42,1634,2024-10-04T16:01:52+00:00
192.168.1.42,1086,2024-10-04T16:01:59+00:00
192.168.1.42,1060,2024-10-04T16:12:16+00:00
192.168.1.42,933,2024-10-04T16:13:41+00:00
192.168.1.42,173,2024-10-04T16:13:47+00:00
192.168.1.42,1672,2024-10-04T17:03:12+00:00
192.168.1.42,1616,2024-10-04T18:08:37+00:00
192.168.1.42,1662,2024-10-05T07:25:51+00:00
192.168.1.42,933,2024-10-05T07:41:25+00:00
192.168.1.42,245,2024-10-05T07:56:11+00:00
192.168.1.42,1086,2024-10-05T08:00:34+00:00
192.168.1.42,244,2024-10-05T08:55:05+00:00
192.168.1.42,1634,2024-10-05T08:56:24+00:00
192.168.1.42,1616,2024-10-05T09:09:05+00:00
192.168.1.42,1672,2024-10-05T09:55:33+00:00
192.168.1.42,1634,2024-10-05T14:00:45+00:00
192.168.1.42,1086,2024-10-05T14:01:39+00:00
192.168.1.42,933,2024-10-05T15:26:44+00:00
192.168.1.42,1672,2024-10-05T16:16:18+00:00
192.168.1.42,1616,2024-10-05T18:06:48+00:00
192.168.1.42,1662,2024-10-07T07:16:46+00:00
192.168.1.42,173,2024-10-07T07:27:23+00:00
192.168.1.42,173,2024-10-07T07:27:26+00:00
192.168.1.42,1188,2024-10-07T07:53:50+00:00
192.168.1.42,1462,2024-10-07T07:54:07+00:00
192.168.1.42,1086,2024-10-07T07:55:57+00:00
192.168.1.42,1155,2024-10-07T08:01:19+00:00
192.168.1.42,933,2024-10-07T08:07:38+00:00
192.168.1.42,245,2024-10-07T08:13:31+00:00
192.168.1.42,951,2024-10-07T08:23:09+00:00
192.168.1.42,1634,2024-10-07T08:56:33+00:00
192.168.1.42,1616,2024-10-07T09:16:04+00:00
192.168.1.42,1672,2024-10-07T10:01:58+00:00
192.168.1.42,1106,2024-10-07T12:02:26+00:00
192.168.1.42,1689,2024-10-07T12:37:42+00:00
192.168.1.42,528,2024-10-07T15:09:28+00:00
192.168.1.42,1634,2024-10-07T15:24:23+00:00
192.168.1.42,933,2024-10-07T16:02:28+00:00
192.168.1.42,173,2024-10-07T16:02:50+00:00
192.168.1.42,1188,2024-10-07T16:03:23+00:00
192.168.1.42,1086,2024-10-07T16:06:10+00:00
192.168.1.42,1155,2024-10-07T16:06:16+00:00
192.168.1.42,951,2024-10-07T16:09:28+00:00
192.168.1.42,1462,2024-10-07T16:09:31+00:00
192.168.1.42,1672,2024-10-07T17:04:12+00:00
192.168.1.42,1616,2024-10-07T18:03:17+00:00
192.168.1.42,1106,2024-10-07T20:22:49+00:00
192.168.1.42,528,2024-10-07T20:42:10+00:00
192.168.1.42,162,2024-10-07T20:42:24+00:00
192.168.1.42,173,2024-10-08T07:03:30+00:00
192.168.1.42,1616,2024-10-08T07:04:06+00:00
192.168.1.42,1662,2024-10-08T07:23:30+00:00
192.168.1.42,933,2024-10-08T07:48:10+00:00
192.168.1.42,1086,2024-10-08T07:57:12+00:00
192.168.1.42,1188,2024-10-08T07:58:18+00:00
192.168.1.42,1462,2024-10-08T07:58:56+00:00
192.168.1.42,1689,2024-10-08T07:59:39+00:00
192.168.1.42,245,2024-10-08T08:10:04+00:00
192.168.1.42,1155,2024-10-08T08:12:00+00:00
192.168.1.42,951,2024-10-08T08:18:25+00:00
192.168.1.42,1634,2024-10-08T08:54:17+00:00
192.168.1.42,106,2024-10-08T09:13:52+00:00
192.168.1.42,1672,2024-10-08T09:54:50+00:00
192.168.1.42,244,2024-10-08T11:03:09+00:00
192.168.1.42,244,2024-10-08T11:18:13+00:00
192.168.1.42,1106,2024-10-08T12:02:02+00:00
192.168.1.42,162,2024-10-08T12:35:46+00:00
192.168.1.42,528,2024-10-08T13:42:41+00:00
192.168.1.42,1634,2024-10-08T16:00:59+00:00
192.168.1.42,1155,2024-10-08T16:01:05+00:00
192.168.1.42,1086,2024-10-08T16:01:09+00:00
192.168.1.42,951,2024-10-08T16:05:39+00:00
192.168.1.42,933,2024-10-08T16:14:43+00:00
192.168.1.42,1188,2024-10-08T16:14:57+00:00
192.168.1.42,173,2024-10-08T16:15:05+00:00
192.168.1.42,1672,2024-10-08T17:06:51+00:00
192.168.1.42,1616,2024-10-08T17:06:56+00:00
192.168.1.42,162,2024-10-08T20:39:12+00:00
192.168.1.42,528,2024-10-08T20:52:00+00:00
192.168.1.42,1662,2024-10-09T07:20:46+00:00
192.168.1.42,1616,2024-10-09T07:22:24+00:00
192.168.1.42,1188,2024-10-09T07:56:36+00:00
192.168.1.42,1155,2024-10-09T07:56:41+00:00
192.168.1.42,245,2024-10-09T07:58:04+00:00
192.168.1.42,1462,2024-10-09T07:58:08+00:00
192.168.1.42,1086,2024-10-09T08:06:57+00:00
192.168.1.42,933,2024-10-09T08:07:16+00:00
192.168.1.42,173,2024-10-09T08:20:27+00:00
192.168.1.42,173,2024-10-09T08:20:34+00:00
192.168.1.42,1634,2024-10-09T08:58:13+00:00
192.168.1.42,244,2024-10-09T09:11:24+00:00
192.168.1.42,244,2024-10-09T09:20:07+00:00
192.168.1.42,244,2024-10-09T09:43:29+00:00
192.168.1.42,1672,2024-10-09T09:55:14+00:00
192.168.1.42,162,2024-10-09T13:28:12+00:00
192.168.1.42,528,2024-10-09T14:12:18+00:00
192.168.1.42,1634,2024-10-09T16:03:54+00:00
192.168.1.42,1155,2024-10-09T16:06:42+00:00
192.168.1.42,1086,2024-10-09T16:06:44+00:00
192.168.1.42,933,2024-10-09T16:13:28+00:00
192.168.1.42,173,2024-10-09T16:13:33+00:00
192.168.1.42,1188,2024-10-09T16:13:59+00:00
192.168.1.42,1672,2024-10-09T17:06:17+00:00
192.168.1.42,1616,2024-10-09T17:06:27+00:00
192.168.1.42,528,2024-10-09T20:21:38+00:00
192.168.1.42,1616,2024-10-10T07:21:40+00:00
192.168.1.42,1662,2024-10-10T07:25:29+00:00
192.168.1.42,173,2024-10-10T07:25:39+00:00
192.168.1.42,933,2024-10-10T07:30:57+00:00
192.168.1.42,1188,2024-10-10T07:54:36+00:00
192.168.1.42,1462,2024-10-10T07:54:49+00:00
192.168.1.42,1155,2024-10-10T08:06:55+00:00
192.168.1.42,1086,2024-10-10T08:07:07+00:00
